first	second	richness	neutral	phylogenetic
M300554	M300556	0.9444444444444442	0.5740159878207509	0.202942129608358
M300554	M300557	0.12903225806451624	0.054503717447993205	0.02061822512008271
M300554	M300559	0.04761904761904767	0.017387264042869166	0.004247811265846502
M300554	M300560	0.0490196078431373	0.01786087414983728	0.0035178281415492174
M300554	M300561	0.04807692307692313	0.019650134589707546	0.005401994223156681
M300554	M300562	0.019230769230769162	0.014925494094714997	0.0027503293821252717
M300554	M300563	0.03738317757009346	0.008887016725935504	0.002634642799517528
M300554	M300564	0.7948717948717947	0.2649857942531244	0.06790550513734517
M300554	M300566	0.07070707070707072	0.017211493372894848	0.0036537924068981154
M300554	M300567	0.0490196078431373	0.026500066519448695	0.0048086801177947835
M300554	M300569	0.04390243902439028	0.018521357678851214	0.005232832860454284
M300554	M300570	0.034146341463414664	0.016426217524591946	0.0032922736782186046
M300554	M300571	0.055276381909547645	0.022771200877424902	0.005112445571423985
M300554	M300572	0.30434782608695654	0.06221645292569944	0.014188876035742481
M300554	M300574	0.04950495049504955	0.009964541072892574	0.0022033630760425194
M300554	M300576	0.08629441624365475	0.034759982932738964	0.006997709466913915
M300554	M300577	0.028846153846153744	0.016300223280095394	0.0038727119355536077
M300554	M300578	0.01941747572815533	0.01597180362395223	0.003198978398426755
M300554	M300580	0.033816425120772875	0.021994495153077387	0.007010402079008271
M300554	M300581	0.14130434782608692	0.029085867332675708	0.004632827440130383
M300554	M300582	0.14754098360655732	0.04270305430651811	0.008068472343892852
M300554	M300583	0.050000000000000044	0.021842054709901748	0.006710453827077911
M300554	M300584	0.02392344497607657	0.014458016625320314	0.003601005402235402
M300554	M300588	0.033816425120772875	0.02796188659031862	0.00534879525798837
M300554	M300589	0.02941176470588225	0.01485095070614939	0.0034258091064340856
M300554	M300590	0.04477611940298498	0.021446126067014792	0.006981684972067637
M300554	M300592	0.03846153846153855	0.018922499576223606	0.005557006376238238
M300554	M300593	0.034482758620689724	0.01658301526698791	0.005096843288044717
M300554	M300594	0.04477611940298498	0.024679999057911073	0.006381208327868371
M300554	M300595	0.04347826086956519	0.022911205302880155	0.010182888469772777
M300554	M300596	0.04761904761904767	0.015079434381659818	0.004844373324214946
M300554	M300597	0.04390243902439028	0.018622902419716536	0.005843440657803178
M300554	M300598	0.04854368932038833	0.01583221724551076	0.0033115048018836912
M300554	M300599	0.02392344497607657	0.014397245082864218	0.0046863653277052775
M300556	M300557	0.9285714285714286	0.6207626186868067	0.25498904241755704
M300556	M300559	0.9444444444444442	0.5799138514725652	0.2139488570816639
M300556	M300560	0.9411764705882353	0.5813203038592756	0.2050138328617529
M300556	M300561	0.9433962264150944	0.5882495039096951	0.21076899768701352
M300556	M300562	0.9433962264150944	0.6077148562734538	0.21960289168930502
M300556	M300563	0.9464285714285714	0.5942061138984318	0.21643167769910676
M300556	M300564	0.6000000000000001	0.4310597224699725	0.14114576203609586
M300556	M300566	0.9375	0.5592643734140005	0.2034136888823891
M300556	M300567	0.9411764705882353	0.6028970371033536	0.20649515218299352
M300556	M300569	0.941747572815534	0.6258910429440938	0.2359667641488875
M300556	M300570	0.941747572815534	0.5933720300201477	0.2072998523215127
M300556	M300571	0.9381443298969072	0.5661269953930956	0.19298688968109556
M300556	M300572	0.8983050847457628	0.5670531646174005	0.1866347537200439
M300556	M300574	0.9399999999999997	0.5707002554583753	0.2002205496877697
M300556	M300576	0.9368421052631581	0.5949790828270578	0.20643536633453097
M300556	M300577	0.9433962264150944	0.5875438008278258	0.20180114091955892
M300556	M300578	0.9423076923076923	0.5643338648950074	0.20457186522979476
M300556	M300580	0.9428571428571426	0.595649959229076	0.2257918896884218
M300556	M300581	0.9268292682926829	0.5567433551521648	0.19433855868843786
